sample_id,t_evnt_start,t_evnt_end,sc_type,sc_location,phase_select,fault_target,fault_resistance,line_1_2_a_length,line_1_2_a_xline,line_1_2_a_rline,line_1_2_a_cline,line_1_2_a_xline0,line_1_2_a_rline0,line_1_2_a_cline0,line_1_2_b_length,line_1_2_b_xline,line_1_2_b_rline,line_1_2_b_cline,line_1_2_b_xline0,line_1_2_b_rline0,line_1_2_b_cline0,line_2_3_a_length,line_2_3_a_xline,line_2_3_a_rline,line_2_3_a_cline,line_2_3_a_xline0,line_2_3_a_rline0,line_2_3_a_cline0,line_2_3_b_length,line_2_3_b_xline,line_2_3_b_rline,line_2_3_b_cline,line_2_3_b_xline0,line_2_3_b_rline0,line_2_3_b_cline0,line_2_3_b_on,line_1_2_b_on,ext_grid_3_on,ext_grid_1_u_setp,ext_grid_1_phi_setp,ext_grid_1_short_circuit_power,ext_grid_3_pgini,ext_grid_3_qgini,ext_grid_3_short_circuit_power,load_3_plini,load_3_qlini,load_2_plini,load_2_qlini
0,0.428642301660816,0.694808616611470,2,19.547918468236279,1,Line_2_3_a,4.051499439233846,27.309150296695815,0.364453117133850,0.123299036628187,0.009983748363737,0.543831177555526,0.129125938881382,0.005872708977351,46.211457895229984,0.436848252548182,0.153868822694423,0.009661823122661,0.631095581367338,0.162943660669686,0.007514816281410,33.749178651938649,0.371106917508680,0.078218335478452,0.009384141874664,0.156033334256499,0.113662522011782,0.009173833690066,24.991514665628248,0.427064831697044,0.169451142297725,0.009651162471528,0.191053049558701,0.146232994109863,0.009048666097755,True,False,True,1.004612650392738,-75.273252916802420,695.127767415312178,-7.198320363661757,17.733703663396845,3409.444079456265627,39.409697625271967,7.644309261665690,37.102465624043390,-10.448473490152764
1,0.469852118370550,0.658022166365751,3,87.564950633156940,1,Line_2_3_a,7.549921658739006,27.663942617530328,0.419095987833815,0.050000000000000,0.008634017265083,0.312377043745024,0.222598544507355,0.006121617377621,58.128957772297397,0.433874607574214,0.190642591837440,0.009235658671549,0.518712583012525,0.168346842612532,0.006222236422368,46.419987368680289,0.403900174388223,0.050000000000000,0.009057344214146,0.655739782587505,0.265691726296399,0.005970926426890,10.417289441631546,0.431785810215406,0.180497780944467,0.009714140820075,0.289710056020088,0.153791085230617,0.007617415455509,True,False,False,1.017557219312795,-109.118614882388243,1102.278894039363422,3.653738022375499,11.925010939996968,1743.038514948063948,42.591868925447699,-19.779509682549868,42.540815636084623,11.845001505370831
2,0.385552115893472,0.737794048179752,2,71.874683862717845,1,Line_2_3_a,7.639229276868288,22.898170269088368,0.430234205944246,0.050000000000000,0.009232586749515,0.179296275960511,0.297603281389872,0.005676781084037,32.771833102746953,0.367969555212082,0.090350476981161,0.008642928219091,0.313291908002012,0.102691455014810,0.007881756626836,38.996415034106249,0.395850317991851,0.050000000000000,0.008804866284011,0.172151533892871,0.260726082935857,0.008371013052801,30.201854145023940,0.448816333943552,0.087309048062614,0.009231429258734,0.259997297058549,0.156604963393795,0.009797872642082,True,True,True,0.973954039804360,-63.970957310261113,1394.238881406461132,40.456113409660674,19.854378212555226,4068.004023940849493,20.100093196726608,18.527518980821263,46.037416445592982,-15.617183191141740
3,0.339056099365882,0.566059887769254,3,62.977102868235043,2,Line_2_3_a,5.064217548051658,19.770857741248015,0.392377755454889,0.120257853898662,0.008914224379862,0.362689239440929,0.208950765992712,0.005323556512896,37.460119123568361,0.416621889035580,0.108839177871017,0.009486699305482,0.191359570819398,0.197098484131408,0.009706145986095,20.131206023846406,0.413661530253678,0.158927075632399,0.009450120271548,0.614398410409787,0.188138706921564,0.009347234949918,54.703348794430951,0.433629121932581,0.193898788816113,0.008584230153342,0.310798571784148,0.217177403800625,0.006615090459150,False,False,False,1.021160901867434,-157.705335083447324,563.299682587673260,39.808226315520976,-12.146809480829788,241.640417371257598,20.122081772141147,-9.137235875742924,46.885775759267077,19.742251550322784
4,0.264736343055774,0.362889243352529,1,75.769514170479283,1,Line_2_3_a,2.730901982025485,30.100211304059727,0.369363053517790,0.050000000000000,0.008745987717375,0.545656578996588,0.155593764938186,0.008542504115244,42.484340322654312,0.432995362437161,0.050000000000000,0.008940169919899,0.521903439053990,0.201428386466708,0.005342705716517,17.461987948262522,0.408233929269954,0.144741955123480,0.008842007569810,0.621363988043267,0.185846454731229,0.005170434676367,39.953433703540114,0.444179914399973,0.136788046234163,0.009466522659932,0.175284483594857,0.143192534663931,0.005099591918697,False,True,True,0.986479195786687,110.983724649125463,474.599486736356482,12.829621358346840,7.897955077618558,1585.150286708041449,38.932897663876702,13.439546846914077,25.991404769107081,-9.524641546214326
5,0.308236526138692,0.553129297275708,0,85.983490531806879,1,Line_2_3_b,0.374811016868297,56.675479110961625,0.361674705928010,0.175015793766988,0.009514378028931,0.425485780171134,0.275509180064354,0.007959511036331,39.858434883752352,0.370704810640153,0.117226931139492,0.008571559978179,0.577190555547551,0.296997015976308,0.007289559496563,47.862564098039606,0.404109548972384,0.172103085514713,0.009979622649945,0.583980642072471,0.299999587884459,0.006572504386560,46.761900743374461,0.409043891681562,0.050000000000000,0.008585011889078,0.151980490741534,0.246925448570251,0.007394517078925,True,False,False,1.027229243110672,-76.300019127400518,2791.303932434584112,37.314242811289816,-16.296398348305971,4241.942256166041261,36.536376483630789,0.662017779501475,26.971284181913774,2.719655102625197
6,0.252935360716894,0.397000820979698,0,2.339610171104300,2,Line_2_3_a,5.548984876212265,15.472486388361130,0.409337858418731,0.050220551984848,0.008595200546551,0.595456222411591,0.208184578220161,0.008019469494427,19.965292580294367,0.401093430702936,0.054731455552511,0.009349117124954,0.443980430827075,0.188476622894922,0.009798670004537,10.492963890208692,0.427648502071114,0.050000000000000,0.009098070838365,0.402865325671164,0.139939904019437,0.009647276724166,37.098520513814506,0.381291522212925,0.160558716644590,0.009466657234913,0.318735834748354,0.149204476655885,0.007442101118565,True,False,True,1.017757928337966,112.914351903336922,807.993588623845426,-31.399618223529306,-13.048513355954295,4803.380436426406050,29.140293282449239,18.385761749206743,41.042474081966077,15.837338931090798
7,0.251819283221751,0.786518101298453,2,10.953606948396988,1,Line_2_3_b,6.925421226352177,13.236096695634638,0.434504434919270,0.162714666556860,0.009974448161937,0.599491128180752,0.214412943504725,0.005728150067363,59.499473415092645,0.432438637689008,0.105467748031568,0.009513797137656,0.293384228316251,0.227810575192339,0.005494834035521,32.449187464612095,0.383608658450877,0.054878344974999,0.008886898348089,0.343777402134842,0.198654653868835,0.008618225050894,42.252679082517325,0.360448262111357,0.164156744534377,0.009461069215903,0.586062924875910,0.298502479827727,0.009292144127511,True,False,False,1.036871277970191,74.912141878724682,320.438994550343693,-20.146311403859951,12.910921334282849,3519.415307352388481,38.605589879013387,-0.863046625411780,42.948212022877762,13.428879302488239
8,0.458427838704418,0.688140120606218,1,31.811312838781561,1,Line_1_2_b,6.559682711028110,25.812169680441464,0.423086006292880,0.161292167423213,0.009416348935942,0.464864205571371,0.289649525947481,0.007758507105602,36.384527620850363,0.444382184611226,0.103467565522310,0.009987082609159,0.169827309602083,0.260737326975962,0.007958493501692,56.719341693946873,0.362927961042063,0.062077413727681,0.009535544128276,0.240447060491323,0.274640253982443,0.006544413520350,16.182417029758874,0.360551151236923,0.188589475470692,0.009990571316137,0.478617266672870,0.228996670702039,0.009072001720515,True,True,True,0.994117959669752,67.569773631645631,1371.650359781453062,-0.795263250918119,-7.871541783683993,1746.668193487132839,22.967639672658976,-9.405986789145985,31.463538567439887,16.468099220966103
9,0.270139448634479,0.372328710560913,0,3.434256997209906,0,Line_1_2_a,8.872271919735839,46.313425578697846,0.447095488552651,0.050000000000000,0.008587260315078,0.505463122949551,0.176106019804539,0.009625688672942,15.029801923442829,0.407637070379026,0.089639560904805,0.009329302523857,0.247513645408472,0.227402404543483,0.008300052302079,54.939112092709969,0.410079716769809,0.050000000000000,0.009749868883931,0.402599765802607,0.117427741300930,0.008430866893089,51.328062280104682,0.378489516329316,0.169276080547359,0.008765992025716,0.338157192635276,0.134323940670534,0.009609370728876,False,True,False,0.957451052543596,-2.096038384738648,2689.156024093661017,44.716246265264942,-14.879617396299288,1313.484312366478434,20.000872661466602,16.931686428407396,27.389421864795267,18.593030514853680
